source,type,target,provider,account_id,tech_family
ssdlc.grabsecurity.com.,NS,"ns-296.awsdns-37.com.,ns-922.awsdns-51.net.,ns-1082.awsdns-07.org.,ns-1745.awsdns-26.co.uk.",AWS,852667873247,
ssdlc.grabsecurity.com.,SOA,ns-296.awsdns-37.com. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400,AWS,852667873247,
sr.sg.aws.grabsecurity.com.,NS,"ns-423.awsdns-52.com.,ns-1722.awsdns-23.co.uk.,ns-1129.awsdns-13.org.,ns-725.awsdns-26.net.",AWS,526471918137,
sr.sg.aws.grabsecurity.com.,SOA,ns-423.awsdns-52.com. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400,AWS,526471918137,
sr.sg.aws.grabsecurity.com.,TXT,"""v=spf1 include:amazonses.com ~all""",AWS,526471918137,
_24a3e807350877a7047cc42eca72ff88.sr.sg.aws.grabsecurity.com.,CNAME,_c0893691992258355cc0f3ca3fc748db.hkmpvcwbzw.acm-validations.aws.,AWS,526471918137,
_cb7f64df6511bc86d36d1ef686723f33.sr.sg.aws.grabsecurity.com.,CNAME,_9258250788cf84c2d349c571b0b6ac73.vhzmpjdqfx.acm-validations.aws.,AWS,526471918137,
5ugla7sewfzqjzxfn4dnszhev2cjxvlo._domainkey.sr.sg.aws.grabsecurity.com.,CNAME,5ugla7sewfzqjzxfn4dnszhev2cjxvlo.dkim.amazonses.com,AWS,526471918137,
blykumzv2vmlrwk6pldgsx3ywwbxgnbq._domainkey.sr.sg.aws.grabsecurity.com.,CNAME,blykumzv2vmlrwk6pldgsx3ywwbxgnbq.dkim.amazonses.com,AWS,526471918137,
pn2pujyugu6tfqw5zjoj35jkwkknsz2x._domainkey.sr.sg.aws.grabsecurity.com.,CNAME,pn2pujyugu6tfqw5zjoj35jkwkknsz2x.dkim.amazonses.com,AWS,526471918137,
argossftp.sr.sg.aws.grabsecurity.com.,A,52.220.46.230,AWS,526471918137,
argossftp01.sr.sg.aws.grabsecurity.com.,A,10.198.255.184,AWS,526471918137,
ax.sr.sg.aws.grabsecurity.com.,A,54.251.99.228,AWS,526471918137,
cassandra01.sr.sg.aws.grabsecurity.com.,A,10.198.254.177,AWS,526471918137,
cdmlcuckoo.sr.sg.aws.grabsecurity.com.,A,54.179.126.47,AWS,526471918137,
cdmlviper.sr.sg.aws.grabsecurity.com.,A,13.251.222.91,AWS,526471918137,
bayleef01.sg.aws.grabsecurity.com.sr.sg.aws.grabsecurity.com.,A,10.198.254.226,AWS,526471918137,
intelast-dev01.sg.aws.grabsecurity.com.sr.sg.aws.grabsecurity.com.,A,10.198.254.133,AWS,526471918137,
nothic01.sg.aws.grabsecurity.com.sr.sg.aws.grabsecurity.com.,A,10.198.254.111,AWS,526471918137,
win_workstation01.sg.aws.grabsecurity.com.sr.sg.aws.grabsecurity.com.,A,10.198.254.250,AWS,526471918137,
controller01.sr.sg.aws.grabsecurity.com.,A,10.198.254.70,AWS,526471918137,
cortex.sr.sg.aws.grabsecurity.com.,A,dualstack.internal-c268e291-thehive4-cortexin-d019-1384279867.ap-southeast-1.elb.amazonaws.com.,AWS,526471918137,
deves.sr.sg.aws.grabsecurity.com.,A,dualstack.internal-c268e291-bayleef-bayleefin-c17c-1229916355.ap-southeast-1.elb.amazonaws.com.,AWS,526471918137,
devki-sift01.sr.sg.aws.grabsecurity.com.,A,10.198.252.250,AWS,526471918137,
devkibana.sr.sg.aws.grabsecurity.com.,A,dualstack.internal-c268e291-bayleef-bayleefin-beeb-1870356849.ap-southeast-1.elb.amazonaws.com.,AWS,526471918137,
