ip,association_id,allocation_id
13.228.137.118,eipassoc-065e0b17c9b940846,eipalloc-081c15e2c1c626e9d
18.141.82.24,eipassoc-c089e53c,eipalloc-0f05c0c838c62a765
46.137.242.7,eipassoc-0c2b3c95866c4ded4,eipalloc-0d9ab3bb31a056f85
52.77.34.226,eipassoc-0e495697ad872ae85,eipalloc-03773450538de5f97
54.151.229.203,eipassoc-0c31f3f61a0e66899,eipalloc-0682ca5e1b608bd1f
54.179.10.3,,eipalloc-08ac7e1d30dbf4db9
54.251.221.79,eipassoc-0c5a9ea4fa30a7d19,eipalloc-0298dc97a91e0bd41
54.251.76.225,eipassoc-0a469178d3dc61262,eipalloc-0f9b552c191292341
13.228.119.48,eipassoc-6c4dc8a1,eipalloc-0215c11ff382fc405
3.1.37.199,eipassoc-5c0061a0,eipalloc-0399f5f52d109ea70
54.255.142.222,eipassoc-c5fe7908,eipalloc-09e6c4f227473dea7
13.228.36.233,eipassoc-0800b9c5,eipalloc-0dd6a28f36c3cc192
18.139.213.115,eipassoc-0b335500d6636b6e5,eipalloc-053ffb8fad40ac4d1
18.140.191.79,,eipalloc-025b26fc9cefc2f60
18.140.227.8,,eipalloc-04ebfb1a5af792b9a
52.220.78.17,,eipalloc-0764e9fd906cde956
54.179.1.218,,eipalloc-0e26264be1dc2a89a
13.250.147.190,eipassoc-de53d713,eipalloc-013a4629741aaf9c1
13.251.19.45,eipassoc-0954d0c4,eipalloc-09c6378e5a8f8a832
18.140.141.137,eipassoc-904eca5d,eipalloc-00f5bcc192bc49295
54.255.240.64,eipassoc-c6158e3a,eipalloc-088ce924c23de4327
13.251.193.166,eipassoc-8d4bf740,eipalloc-0f673a19043d5532b
18.140.168.150,eipassoc-672b34bc,eipalloc-0bcdf15a12d4398bf
18.140.190.34,eipassoc-02534d7ce35f6b71f,eipalloc-06dad9c17df4827e7
18.140.209.10,eipassoc-a3940a5f,eipalloc-003ac58e21993c188
52.220.46.230,eipassoc-04ab52b186c90ac32,eipalloc-077fc84ced9733f3a
54.169.72.254,,eipalloc-090afb7a91f967a1f
54.251.99.228,eipassoc-032963f1c9be750a5,eipalloc-05f4e20e6d99ad349
18.138.108.37,eipassoc-70d4408c,eipalloc-01207c7bd82a236ce
18.138.63.115,eipassoc-b326b34f,eipalloc-09022789d570d855d
18.140.171.34,eipassoc-89d26944,eipalloc-05cd2284fc569881d
13.228.53.153,eipassoc-20060b47,eipalloc-e1043684
13.229.194.232,eipassoc-bb996386,eipalloc-30b4fe0a
52.74.43.82,eipassoc-f0ab1796,eipalloc-72554d17
18.138.29.148,eipassoc-0179d1a7ec0272f14,eipalloc-0c92047c8613839a4
18.141.59.164,eipassoc-08008bc6dd5eb632d,eipalloc-0c10349cc5fe1f8e9
52.220.175.171,,eipalloc-0c367f6ee4105102e
52.74.175.196,eipassoc-f521a338,eipalloc-09ea3baff5a81d4e8
54.254.106.245,eipassoc-0dbb0b4d590f5921d,eipalloc-0ef0e93744007b212
13.251.152.35,,eipalloc-0d48bd64777007fb0
13.251.54.172,eipassoc-c3d65c3f,eipalloc-085dba68e15cae9a3
18.136.96.73,eipassoc-ac989377,eipalloc-089866ca9270db590
3.0.165.163,eipassoc-696ec6a4,eipalloc-0ae0a24e3e7e00f44
13.251.47.156,,eipalloc-0b89d2a22fd9576ed
18.136.165.179,eipassoc-f1727f2a,eipalloc-096b5f819ab80cc70
52.74.171.102,eipassoc-7847e4b5,eipalloc-09e208464faf24886
52.77.48.165,eipassoc-abff7257,eipalloc-096ce47d4235ad01a
13.228.53.26,eipassoc-747378af,eipalloc-02b46084f849a3a1e
13.251.159.102,,eipalloc-0bf403df48ba93a7a
13.251.159.237,eipassoc-8c727157,eipalloc-fc213ec6
13.251.183.167,eipassoc-af4dca53,eipalloc-ff203fc5
13.251.185.207,eipassoc-f500a438,eipalloc-ff213ec5
13.251.67.34,eipassoc-e68e232b,eipalloc-00fd50ccd087d232e
18.136.67.59,eipassoc-a853ff65,eipalloc-0cd9408fc07cb26c6
3.0.106.122,eipassoc-feaaa625,eipalloc-087fae4cae232ba8a
3.0.164.30,eipassoc-51b833ad,eipalloc-047307b1ba9043b38
52.76.175.236,eipassoc-8191227d,eipalloc-739c9249
52.77.176.147,eipassoc-a6747a7d,eipalloc-033f799bdd7d4bee7
52.77.181.47,eipassoc-dea5a205,eipalloc-8ba0a8b1
52.77.201.143,eipassoc-a283506f,eipalloc-022b2638
52.77.40.65,eipassoc-5d9917a1,eipalloc-0aa90cd69c2482241
54.169.103.41,eipassoc-703eb28c,eipalloc-052c2aad9303ac236
54.254.235.96,eipassoc-ab3d9466,eipalloc-0ff544f32183e4831
18.139.89.242,eipassoc-e8eaf633,eipalloc-067a2f8a6d1710f61
13.251.216.23,eipassoc-58c2c283,eipalloc-036b8964d59dbc6ba
13.251.248.62,eipassoc-634e94ae,eipalloc-085493651933852aa
