source,type,target,provider,account_id,tech_family
ssdlc.grabsecurity.com.,NS,"ns-296.awsdns-37.com.,ns-922.awsdns-51.net.,ns-1082.awsdns-07.org.,ns-1745.awsdns-26.co.uk.",AWS,,
sr.sg.aws.grabsecurity.com.,NS,"ns-423.awsdns-52.com.,ns-1722.awsdns-23.co.uk.,ns-1129.awsdns-13.org.,ns-725.awsdns-26.net.",AWS,,
obs.myteksi.net.,NS,"ns-663.awsdns-18.net.,ns-1743.awsdns-25.co.uk.,ns-410.awsdns-51.com.,ns-1225.awsdns-25.org.",AWS,,
obs.stg-myteksi.com.,NS,"ns-1693.awsdns-19.co.uk.,ns-973.awsdns-57.net.,ns-1227.awsdns-25.org.,ns-48.awsdns-06.com.",AWS,,
grab-bat.net.,NS,"ns-620.awsdns-13.net.,ns-1815.awsdns-34.co.uk.,ns-90.awsdns-11.com.,ns-1150.awsdns-15.org.",AWS,,
sf-form-uat.grab-bat.net.,A,dualstack.bat-staging-balancer-403124488.ap-southeast-1.elb.amazonaws.com.,AWS,,
grabweb.co.,NS,"ns-157.awsdns-19.com.,ns-1340.awsdns-39.org.,ns-837.awsdns-40.net.,ns-1747.awsdns-26.co.uk.",AWS,,
workchat-sg.grab-bat.net.,A,dualstack.bat-staging-balancer-403124488.ap-southeast-1.elb.amazonaws.com.,AWS,,
drone.grabweb.co.,CNAME,a38f0a9dea33611e786e906c7133cc73-1026744283.ap-southeast-1.elb.amazonaws.com,AWS,,
webkit.stg-myteksi.com.,NS,"ns-79.awsdns-09.com.,ns-562.awsdns-06.net.,ns-1559.awsdns-02.co.uk.,ns-1473.awsdns-56.org.",AWS,,
grab-platform.com.,NS,"ns-96.awsdns-12.com.,ns-1418.awsdns-49.org.,ns-1683.awsdns-18.co.uk.,ns-724.awsdns-26.net.",AWS,,
internal.grab-platform.com.,NS,"ns-1971.awsdns-54.co.uk,ns-696.awsdns-23.net,ns-1288.awsdns-33.org,ns-32.awsdns-04.com",AWS,,
ops.grab-platform.com.,NS,"ns-1935.awsdns-49.co.uk,ns-240.awsdns-30.com,ns-1060.awsdns-04.org,ns-680.awsdns-21.net",AWS,,
stg.grab-platform.com.,NS,"ns-1096.awsdns-09.org,ns-1928.awsdns-49.co.uk,ns-669.awsdns-19.net,ns-208.awsdns-26.com",AWS,,
stg.grab-platform.com.,NS,"ns-1096.awsdns-09.org.,ns-669.awsdns-19.net.,ns-208.awsdns-26.com.,ns-1928.awsdns-49.co.uk.",AWS,,
internal.stg.grab-platform.com.,NS,"ns-493.awsdns-61.com,ns-1366.awsdns-42.org,ns-1573.awsdns-04.co.uk,ns-777.awsdns-33.net",AWS,,
ops.grab-platform.com.,NS,"ns-1935.awsdns-49.co.uk.,ns-1060.awsdns-04.org.,ns-680.awsdns-21.net.,ns-240.awsdns-30.com.",AWS,,
internal.ops.grab-platform.com.,NS,"ns-287.awsdns-35.com,ns-1312.awsdns-36.org,ns-1705.awsdns-21.co.uk,ns-661.awsdns-18.net",AWS,,
internal.grab-platform.com.,NS,"ns-1971.awsdns-54.co.uk.,ns-1288.awsdns-33.org.,ns-696.awsdns-23.net.,ns-32.awsdns-04.com.",AWS,,
internal.stg.grab-platform.com.,NS,"ns-493.awsdns-61.com.,ns-1573.awsdns-04.co.uk.,ns-777.awsdns-33.net.,ns-1366.awsdns-42.org.",AWS,,
internal.ops.grab-platform.com.,NS,"ns-1312.awsdns-36.org.,ns-287.awsdns-35.com.,ns-661.awsdns-18.net.,ns-1705.awsdns-21.co.uk.",AWS,,
sreopstool.grabtaxi.io.,NS,"ns-1207.awsdns-22.org.,ns-56.awsdns-07.com.,ns-906.awsdns-49.net.,ns-1614.awsdns-09.co.uk.",AWS,,
dbops-doorman.sreopstool.grabtaxi.io.,A,dualstack.internal-misc-dbops-doorman-198787093.ap-southeast-1.elb.amazonaws.com.,AWS,,
